Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
07.05.2020;6,6;14,4;21,5;12,8;0,0;1,0;30;50,6;78;6;22
08.05.2020;8,6;16,3;23,0;10,3;0,0;3,1;31;51,5;81;6;28
09.05.2020;11,6;18,6;25,0;12,3;0,0;6,0;36;50,6;67;8;28
10.05.2020;7,5;15,8;20,7;1,8;0,7;5,9;57;71,9;90;10;52
11.05.2020;5,6;9,2;14,0;6,5;0,0;3,1;33;52,8;77;22;59
12.05.2020;3,6;8,3;13,1;7,2;0,0;-1,6;42;58,5;81;7;26
13.05.2020;3,9;9,3;15,2;5,7;0,0;-2,1;38;61,7;87;9;44
14.05.2020;3,9;10,0;15,5;14,1;0,0;-0,7;33;51,6;79;14;50
15.05.2020;4,8;10,9;16,9;11,9;0,0;0,8;35;52,8;74;11;37
16.05.2020;5,7;12,3;18,5;9,2;0,0;-0,3;40;59,1;82;8;35
17.05.2020;5,8;12,9;19,3;11,0;0,0;0,2;40;60,9;88;6;26
18.05.2020;9,0;16,9;24,6;12,8;0,0;3,3;36;53,2;80;11;33
19.05.2020;9,8;17,7;24,4;10,3;0,0;4,1;43;53,5;70;8;28
20.05.2020;12,5;17,2;21,5;4,8;0,0;8,2;54;68,5;84;8;26
21.05.2020;11,5;19,6;27,7;15,1;0,0;7,0;35;59,8;89;7;20
22.05.2020;16,1;20,2;28,1;0,6;0,1;11,7;42;65,8;81;14;46
23.05.2020;12,7;16,5;21,1;5,0;0,0;10,9;34;48,7;68;17;54
24.05.2020;11,0;13,8;17,1;2,9;1,6;9,6;54;73,0;93;16;46
25.05.2020;11,2;15,9;21,2;4,8;0,0;6,8;51;72,1;93;11;35
26.05.2020;9,2;16,5;22,9;15,2;0,0;5,2;37;59,5;92;8;30
27.05.2020;11,2;18,5;25,0;13,9;0,0;6,7;36;54,0;77;10;37
28.05.2020;10,4;16,4;22,5;15,2;0,0;8,5;29;48,1;77;13;41
29.05.2020;9,8;17,3;23,4;15,4;0,0;6,1;27;44,8;72;11;41
30.05.2020;11,9;18,4;24,3;15,5;0,0;6,6;28;41,0;57;12;46
31.05.2020;12,6;17,3;22,1;13,3;0,0;7,4;37;47,3;59;15;50
01.06.2020;12,1;20,3;26,8;14,0;0,0;7,8;31;48,0;73;9;37
02.06.2020;13,7;22,3;29,6;14,3;0,0;9,1;26;45,5;73;7;30
03.06.2020;16,5;20,8;26,6;9,4;0,0;13,1;33;50,2;67;10;35
04.06.2020;9,9;13,9;16,9;0,0;3,3;8,7;72;85,8;94;11;39
05.06.2020;7,9;10,7;12,9;2,9;12,3;6,5;75;85,2;97;15;63
06.06.2020;9,0;13,3;18,4;6,0;2,6;7,4;38;63,2;92;16;54
07.06.2020;10,7;14,4;19,2;2,4;0,0;8,3;48;61,2;80;13;35
08.06.2020;12,5;14,9;19,2;1,9;0,1;10,4;57;73,2;84;8;37
09.06.2020;12,0;15,1;19,7;2,9;1,9;8,6;60;77,0;94;10;33
10.06.2020;12,8;15,7;18,4;0,0;0,3;10,3;65;78,1;88;8;22
11.06.2020;14,4;16,6;20,1;1,1;3,5;12,9;64;80,6;95;6;19
12.06.2020;13,2;21,4;28,6;14,1;0,5;10,0;39;63,3;93;11;61
13.06.2020;16,1;21,4;26,5;8,2;0,0;14,5;44;66,7;91;8;28
14.06.2020;17,2;19,5;22,3;0,0;0,1;15,1;65;74,0;85;12;39
15.06.2020;16,8;19,8;23,7;0,2;0,7;15,6;54;68,1;79;8;20
16.06.2020;16,0;18,9;21,8;1,2;0,0;12,3;63;81,0;97;7;20
17.06.2020;14,6;19,1;25,0;4,4;10,1;11,1;59;83,0;100;7;33
18.06.2020;14,9;18,7;22,9;2,5;0,6;13,5;53;77,8;100;8;30
19.06.2020;14,3;19,6;25,0;13,7;0,0;11,0;46;68,3;98;10;48
20.06.2020;14,5;19,1;23,9;9,6;0,0;11,0;44;62,1;86;8;30
21.06.2020;13,7;20,7;26,9;8,4;3,5;9,4;43;61,5;85;9;33
22.06.2020;13,7;18,4;24,3;6,9;0,0;10,9;47;73,2;96;9;30
23.06.2020;13,8;21,6;28,6;15,4;0,0;9,7;37;58,2;87;7;30
24.06.2020;15,8;23,8;30,4;15,7;0,0;11,2;33;49,7;78;11;43
25.06.2020;17,1;24,0;30,4;10,8;0,0;12,3;41;55,2;74;10;33
26.06.2020;18,8;25,1;31,8;12,9;0,0;13,6;34;51,5;75;12;48
27.06.2020;20,4;23,9;28,6;5,0;0,9;17,8;47;62,3;79;15;50
28.06.2020;15,9;19,8;23,1;3,9;2,8;11,2;41;63,2;87;15;41
29.06.2020;13,1;17,6;22,1;6,3;0,7;10,3;41;61,5;94;15;50
30.06.2020;13,7;18,3;22,8;4,4;7,6;10,8;46;60,5;72;19;50
01.07.2020;16,4;18,6;22,8;2,2;22,9;13,7;72;90,1;99;13;48
02.07.2020;14,0;17,6;23,1;5,0;0,7;10,9;55;77,3;95;11;44
03.07.2020;13,6;17,6;23,6;4,1;0,0;10,8;54;72,3;89;14;37
04.07.2020;15,6;18,9;22,3;0,0;0,6;12,4;58;71,7;90;16;48
05.07.2020;16,0;20,7;24,1;2,7;0,4;14,3;59;74,7;92;20;61
06.07.2020;12,6;15,6;19,4;5,3;3,7;8,8;53;68,6;84;17;57
07.07.2020;10,2;16,1;21,2;5,6;1,8;6,8;47;67,9;95;10;37
08.07.2020;12,6;14,6;17,0;0,0;4,4;12,4;81;92,6;99;8;26
09.07.2020;15,7;19,0;23,3;1,3;0,1;14,5;62;82,6;100;12;52
10.07.2020;11,7;17,3;19,6;3,5;0,4;8,2;64;78,2;89;12;48
11.07.2020;10,2;15,4;20,8;7,5;0,0;6,7;46;69,7;94;7;28
12.07.2020;11,4;17,2;23,6;12,0;0,0;7,6;38;61,2;90;8;28
13.07.2020;11,3;19,4;26,2;13,1;0,1;7,2;35;55,0;87;6;24
14.07.2020;13,5;17,2;22,9;3,9;2,6;9,0;46;73,1;94;6;33
15.07.2020;13,0;16,9;21,1;4,8;0,1;11,4;51;70,4;97;9;33
16.07.2020;14,1;15,8;18,3;0,0;2,9;13,5;80;90,0;95;8;35
17.07.2020;15,2;18,2;21,6;0,5;0,0;14,6;63;79,5;95;7;24
18.07.2020;15,8;21,6;27,8;10,1;0,0;12,2;42;64,5;93;6;26
19.07.2020;17,6;22,6;28,3;11,3;1,1;12,9;32;62,1;94;10;31
20.07.2020;14,5;18,5;23,6;7,2;0,0;9,1;38;64,7;94;11;33
21.07.2020;12,1;17,5;23,2;12,1;0,0;7,4;36;58,5;85;9;31
22.07.2020;12,9;17,8;23,9;13,6;0,0;8,3;33;57,4;81;10;35
23.07.2020;11,8;19,9;27,2;14,1;0,0;6,6;36;55,0;82;5;22
24.07.2020;18,0;20,3;25,1;3,2;0,0;13,2;50;63,9;80;9;46
25.07.2020;16,5;20,5;24,2;0,5;8,6;11,1;55;71,8;87;9;35
26.07.2020;16,3;19,7;24,2;6,4;0,9;12,3;51;75,0;98;12;48
27.07.2020;15,1;21,3;29,0;2,9;0,4;11,7;37;64,1;87;9;33
28.07.2020;17,2;20,5;23,9;5,4;0,0;14,1;41;60,0;75;16;44
29.07.2020;14,4;18,9;23,7;10,7;0,0;11,9;42;56,7;79;11;37
30.07.2020;13,4;20,9;28,4;14,4;0,0;9,9;31;52,3;78;6;20
31.07.2020;15,7;25,8;35,0;14,9;0,0;11,4;29;47,0;71;8;28
01.08.2020;21,7;25,8;32,0;7,1;0,1;18,8;38;55,6;69;10;35
02.08.2020;16,7;20,9;24,3;3,3;0,0;13,4;52;61,6;71;11;33
03.08.2020;13,7;19,0;24,8;8,9;0,0;9,3;37;58,5;79;9;39
04.08.2020;13,8;18,4;24,0;12,3;0,0;10,4;33;59,1;89;8;33
05.08.2020;13,5;22,0;30,5;14,2;0,0;9,3;26;46,3;69;9;28
06.08.2020;18,3;25,0;32,0;14,5;0,0;13,6;30;43,0;56;10;33
07.08.2020;18,9;26,8;34,7;14,3;0,0;13,8;26;42,9;64;7;28
08.08.2020;19,5;28,3;36,9;13,8;0,0;15,0;27;43,0;64;6;28
09.08.2020;22,6;27,3;34,7;2,9;0,0;18,1;34;51,8;66;7;37
10.08.2020;20,2;27,2;34,2;11,7;0,0;16,4;40;56,9;78;8;33
11.08.2020;20,6;27,0;35,2;10,4;8,5;17,1;35;62,1;97;9;50
12.08.2020;20,3;25,2;32,4;9,2;0,0;18,0;47;70,6;96;10;33
13.08.2020;20,7;24,5;32,8;6,7;8,3;18,8;42;73,0;98;8;52
14.08.2020;20,3;24,5;30,0;8,6;0,0;18,2;46;71,5;99;8;30
15.08.2020;19,6;22,1;27,4;3,1;2,5;17,3;62;85,0;98;6;37
16.08.2020;19,3;24,0;31,3;6,8;0,0;16,8;44;73,6;100;8;35
17.08.2020;16,8;20,7;27,5;3,3;9,1;15,0;45;81,9;99;6;48
18.08.2020;16,1;19,9;25,6;7,8;0,0;13,9;48;75,3;99;10;30
19.08.2020;15,1;21,8;28,3;10,6;0,1;12,6;43;66,8;91;11;31
20.08.2020;20,5;25,5;29,7;4,6;0,6;18,8;54;66,0;85;12;35
21.08.2020;21,1;24,7;30,3;3,3;6,7;17,0;50;69,1;92;12;50
22.08.2020;17,9;21,5;25,9;6,9;0,2;15,7;44;62,3;75;17;63
23.08.2020;16,4;18,4;22,0;2,9;2,0;14,5;58;72,5;84;17;44
24.08.2020;15,3;17,8;21,8;2,0;0,1;11,5;49;71,7;91;14;37
25.08.2020;15,2;18,6;21,7;1,6;0,5;12,2;60;75,5;91;13;46
26.08.2020;15,3;17,9;19,7;0,4;0,7;11,7;61;71,2;89;25;81
27.08.2020;14,1;17,8;22,4;3,7;0,8;10,7;49;74,8;95;7;35
28.08.2020;13,5;18,1;22,6;7,3;0,0;9,3;50;68,0;86;15;44
29.08.2020;12,7;16,7;21,9;5,5;0,0;8,2;45;69,2;87;11;35
30.08.2020;11,5;15,9;21,6;2,7;4,1;7,1;58;81,4;97;7;28
31.08.2020;14,4;16,4;20,1;3,5;0,0;11,7;54;76,7;96;11;30
01.09.2020;12,4;16,0;19,5;3,9;0,0;9,3;56;69,8;85;8;26
02.09.2020;11,4;16,6;22,5;11,4;0,0;9,1;43;67,4;95;5;22
03.09.2020;12,7;15,1;19,8;0,0;6,1;10,1;76;86,0;97;11;37
04.09.2020;16,2;19,2;20,6;0,3;8,7;15,3;69;84,7;96;12;39
05.09.2020;10,6;15,2;20,2;4,3;0,1;7,8;53;79,0;99;9;41
06.09.2020;9,4;14,1;20,9;7,6;0,0;7,4;44;73,0;91;7;31
07.09.2020;9,5;14,8;21,3;10,4;0,0;6,8;47;74,4;95;7;22
08.09.2020;11,2;16,2;20,9;2,6;0,0;8,6;69;81,2;98;8;26
09.09.2020;12,9;18,0;23,5;2,3;0,3;10,4;68;86,2;100;9;33
10.09.2020;11,0;15,8;20,7;11,9;0,0;7,4;46;69,0;94;7;26
11.09.2020;9,9;15,8;22,8;11,3;0,0;6,3;48;72,5;89;6;22
12.09.2020;11,9;16,4;21,7;10,4;0,0;8,5;52;74,0;95;9;31
13.09.2020;12,0;17,2;24,4;11,3;0,0;8,5;51;76,9;92;6;20
14.09.2020;13,2;21,4;30,5;11,7;0,0;9,2;36;64,1;93;9;30
15.09.2020;16,6;23,2;32,6;10,9;0,0;12,5;32;59,1;80;7;19
16.09.2020;16,2;21,4;27,0;10,0;0,0;13,4;50;67,1;82;11;41
17.09.2020;12,0;15,8;20,0;11,5;0,0;7,7;44;61,5;79;16;46
18.09.2020;9,5;16,4;24,4;11,7;0,0;5,0;35;55,2;74;8;33
19.09.2020;9,5;17,4;26,3;11,6;0,0;5,5;29;52,5;79;7;28
20.09.2020;9,7;16,9;24,8;11,3;0,0;5,3;27;55,2;79;7;28
21.09.2020;10,4;16,9;25,2;11,5;0,0;6,1;34;60,2;84;5;17
22.09.2020;11,4;16,9;24,4;11,0;0,0;7,0;39;65,2;84;5;15
23.09.2020;12,7;18,6;24,6;6,4;1,5;8,6;47;64,1;82;11;39
24.09.2020;12,4;16,4;19,9;8,8;3,5;10,6;40;65,8;88;17;70
25.09.2020;9,4;11,9;15,6;5,7;3,0;6,0;60;78,3;95;16;48
26.09.2020;9,6;10,7;12,1;0,0;33,3;9,1;89;94,9;100;11;44
27.09.2020;9,8;11,9;14,5;0,4;0,0;8,1;71;87,1;100;8;33
28.09.2020;10,6;12,1;13,3;0,0;1,4;9,5;78;86,5;92;8;22
29.09.2020;10,0;11,8;14,4;1,0;6,5;8,5;88;94,6;100;9;22
30.09.2020;12,5;15,2;19,2;1,9;0,2;11,8;76;87,9;98;12;30
01.10.2020;11,1;13,6;17,3;0,6;3,8;8,7;72;88,0;96;13;35
02.10.2020;8,9;14,3;18,8;1,3;0,1;6,0;66;82,3;100;10;33
03.10.2020;10,4;12,8;15,6;0,3;11,1;8,3;82;92,2;98;10;35
04.10.2020;10,6;12,2;14,8;0,8;0,7;8,9;59;79,3;96;18;52
05.10.2020;10,6;11,9;14,5;0,2;3,2;7,7;74;84,6;91;14;39
06.10.2020;11,6;12,9;15,2;2,4;6,0;9,9;77;85,9;95;16;46
07.10.2020;9,7;12,4;15,0;0,7;3,9;6,1;74;85,6;96;15;41
08.10.2020;9,1;13,5;17,7;0,1;3,9;6,5;74;88,3;96;16;57
09.10.2020;9,7;12,5;15,3;1,6;0,6;6,3;67;88,6;100;7;28
10.10.2020;8,3;10,4;13,4;4,4;1,3;6,4;61;79,2;93;15;43
11.10.2020;7,7;9,8;13,8;3,1;0,7;6,4;64;86,2;94;10;30
12.10.2020;8,0;9,7;13,1;2,7;2,3;5,4;76;91,2;97;7;31
13.10.2020;6,4;8,8;13,0;7,1;0,0;3,0;68;86,5;97;11;30
14.10.2020;6,1;9,1;11,7;0,0;0,4;2,6;69;82,8;95;11;33
15.10.2020;8,0;9,3;10,3;0,0;0,0;5,3;80;82,8;88;12;33
16.10.2020;7,4;9,4;11,8;0,0;0,0;4,8;73;80,2;88;9;28
17.10.2020;7,4;9,4;11,4;0,4;0,0;5,3;69;79,3;87;5;17
18.10.2020;6,7;9,5;11,9;0,3;0,1;3,5;76;84,5;93;8;20
19.10.2020;8,3;10,2;13,3;2,0;0,0;4,6;67;83,2;97;8;37
20.10.2020;8,6;11,3;13,2;0,2;5,2;6,3;70;82,0;95;18;44
21.10.2020;11,5;15,6;21,0;2,1;1,8;10,6;57;79,3;98;19;56
22.10.2020;13,3;16,3;19,9;0,6;3,3;10,1;68;82,9;98;10;35
23.10.2020;12,6;14,0;15,9;0,8;4,2;8,9;90;97,9;100;6;20
24.10.2020;12,0;14,0;16,3;0,1;0,0;8,9;72;84,1;97;13;52
25.10.2020;10,8;13,2;15,5;0,0;5,2;7,9;72;85,4;98;12;48
26.10.2020;9,6;11,1;12,7;1,0;0,2;7,1;64;78,3;93;13;35
27.10.2020;9,3;11,1;13,2;0,8;0,5;6,1;64;75,8;84;14;43
28.10.2020;9,8;12,6;14,8;3,2;2,8;7,4;60;77,8;95;17;48
29.10.2020;9,4;10,8;12,7;2,9;9,2;7,2;74;88,1;99;14;41
30.10.2020;12,6;14,4;16,1;0,0;0,1;11,8;73;84,4;97;17;41
31.10.2020;13,1;14,5;16,9;5,2;1,5;10,2;61;79,5;96;12;37
01.11.2020;12,2;15,3;18,2;0,2;1,6;9,9;72;83,7;96;11;39
02.11.2020;11,4;17,4;20,9;0,0;2,7;9,2;67;79,8;96;20;57
03.11.2020;7,0;10,5;13,6;6,0;0,0;3,5;53;74,6;86;15;44
04.11.2020;3,8;6,9;11,1;8,2;0,0;-0,4;65;85,0;96;6;20
05.11.2020;2,1;5,3;9,9;8,0;0,0;-1,5;72;90,5;98;5;15
06.11.2020;3,6;7,2;12,9;8,4;0,0;-0,2;54;78,8;97;7;37
07.11.2020;6,7;10,5;16,4;7,9;0,0;3,1;55;65,9;75;15;35
08.11.2020;7,5;11,4;15,3;4,3;0,7;3,6;63;75,9;86;11;26
09.11.2020;10,3;12,6;16,5;2,2;0,3;6,0;80;92,0;98;6;22
10.11.2020;8,6;11,6;15,7;8,1;0,4;4,9;76;88,1;96;8;20
11.11.2020;9,3;10,8;13,1;1,9;0,0;7,4;86;92,1;99;11;43
12.11.2020;6,8;10,8;14,1;1,3;0,3;2,6;69;81,1;92;16;43
13.11.2020;5,6;10,2;14,1;3,3;0,0;1,8;76;86,0;92;12;33
14.11.2020;12,7;14,0;16,6;5,5;0,0;8,7;67;79,3;88;12;39
15.11.2020;9,7;13,6;17,0;2,8;3,4;5,0;65;75,5;83;18;69
16.11.2020;9,6;10,8;12,5;1,1;0,8;5,4;75;82,7;92;15;44
