Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
12.12.2019;3,2;4,9;6,7;3;0;-0,3;69;82,1;100;15;52
13.12.2019;2,8;4,5;6,6;0;10,2;1,2;74;90,6;100;18;56
14.12.2019;4,4;5,8;7,4;0,5;9,3;1,7;68;85,5;99;18;76
15.12.2019;4,4;7,5;10,9;4,5;2,2;-0,9;66;78,5;95;17;70
16.12.2019;4,8;8,3;10;0;0,3;0,2;85;91,2;97;12;31
17.12.2019;9,4;12,7;15,6;0,5;4,7;6,7;61;74;93;15;41
18.12.2019;7,1;8,5;10,9;6,6;0;0,6;73;85,2;93;12;35
19.12.2019;8,8;11,2;15,1;6,8;0;5;62;76,2;89;19;43
20.12.2019;8,7;10,5;12,3;0;1,1;3;67;74,5;89;20;52
21.12.2019;6,7;8,3;10;3,5;1,8;1,6;73;77,8;86;15;44
22.12.2019;6,4;8,1;10,6;0,1;5,2;3,3;78;90;95;17;48
23.12.2019;6,9;8,1;9,1;0,3;0,9;3,9;82;87,3;93;15;37
24.12.2019;6,2;8,1;10,8;0;10,2;2,9;76;89,2;98;15;52
25.12.2019;6,5;7,7;8,7;0;0,6;3,8;90;93,8;97;11;37
26.12.2019;5,1;6,3;7,1;0,2;0,2;3,2;79;90;97;10;28
27.12.2019;1,3;4,7;6,2;1,6;0;-3,1;78;89,8;97;8;30
28.12.2019;0;1,8;4,4;3,9;0;-4,5;72;83,5;93;11;33
29.12.2019;0,4;2,4;4,6;0,3;0;-2,3;60;69,5;80;16;35
30.12.2019;2;4,6;9,1;6,7;0;-3,6;41;52,3;61;13;31
31.12.2019;1;3,4;5,7;0;0;-4,1;56;83,5;97;6;22
